"sample_id","age","age_num","channel","x_pos","int_density"
"nSyb4_49to50d F 111125-Airyscan Processing-03-Airyscan Processing-04_nSyb_Old_Right","Old",3,"Green",2.82,26810000
"nSyb4_49to50d F 111125-Airyscan Processing-03-Airyscan Processing-04_nSyb_Old_Right","Old",3,"Red",3.18,16990000
"nSyb4_Experiment-1405-Split Scenes-05-Airyscan Processing-14_nSyb_Young_Left","Young",1,"Green",0.82,9276000
"nSyb4_Experiment-1405-Split Scenes-05-Airyscan Processing-14_nSyb_Young_Left","Young",1,"Red",1.18,3687000
"nSyb4_Experiment-1405-Split Scenes-05-Airyscan Processing-14_nSyb_Young_Right","Young",1,"Green",0.82,7549000
"nSyb4_Experiment-1405-Split Scenes-05-Airyscan Processing-14_nSyb_Young_Right","Young",1,"Red",1.18,3126000
"nSyb5_15to20 Mito F  251031-Airyscan Processing-10_nSyb_Middle_Left","Middle",2,"Green",1.82,25100000
"nSyb5_15to20 Mito F  251031-Airyscan Processing-10_nSyb_Middle_Left","Middle",2,"Red",2.18,30750000
"nSyb5_15to20 Mito F  251031-Airyscan Processing-10_nSyb_Middle_Right","Middle",2,"Green",1.82,21600000
"nSyb5_15to20 Mito F  251031-Airyscan Processing-10_nSyb_Middle_Right","Middle",2,"Red",2.18,22480000
"nSyb5_49to50d F 111125-Airyscan Processing-05_nSyb_Old_Left","Old",3,"Green",2.82,38780000
"nSyb5_49to50d F 111125-Airyscan Processing-05_nSyb_Old_Left","Old",3,"Red",3.18,17300000
"nSyb5_49to50d F 111125-Airyscan Processing-05_nSyb_Old_Right","Old",3,"Green",2.82,39700000
"nSyb5_49to50d F 111125-Airyscan Processing-05_nSyb_Old_Right","Old",3,"Red",3.18,37950000
"nSyb5_Experiment-1405-Split Scenes-04-Airyscan Processing-03_nSyb_Young_Left","Young",1,"Green",0.82,19900000
"nSyb5_Experiment-1405-Split Scenes-04-Airyscan Processing-03_nSyb_Young_Left","Young",1,"Red",1.18,15300000
"nSyb5_Experiment-1405-Split Scenes-04-Airyscan Processing-03_nSyb_Young_Right","Young",1,"Green",0.82,19230000
"nSyb5_Experiment-1405-Split Scenes-04-Airyscan Processing-03_nSyb_Young_Right","Young",1,"Red",1.18,15630000
"nSyb6_15to20 Mito F  251031-Airyscan Processing-09_nSyb_Middle_Left","Middle",2,"Green",1.82,24650000
"nSyb6_15to20 Mito F  251031-Airyscan Processing-09_nSyb_Middle_Left","Middle",2,"Red",2.18,56610000
"nSyb6_15to20 Mito F  251031-Airyscan Processing-09_nSyb_Middle_Right","Middle",2,"Green",1.82,33940000
"nSyb6_15to20 Mito F  251031-Airyscan Processing-09_nSyb_Middle_Right","Middle",2,"Red",2.18,99770000
"nSyb6_49to50d F 111125-Airyscan Processing-06_nSyb_Old_Left","Old",3,"Green",2.82,18770000
"nSyb6_49to50d F 111125-Airyscan Processing-06_nSyb_Old_Left","Old",3,"Red",3.18,18660000
"nSyb6_49to50d F 111125-Airyscan Processing-06_nSyb_Old_Right","Old",3,"Green",2.82,19220000
"nSyb6_49to50d F 111125-Airyscan Processing-06_nSyb_Old_Right","Old",3,"Red",3.18,18710000
"nSyb6_Experiment-1405-Split Scenes-03-Airyscan Processing-02_nSyb_Young_Left","Young",1,"Green",0.82,9786000
"nSyb6_Experiment-1405-Split Scenes-03-Airyscan Processing-02_nSyb_Young_Left","Young",1,"Red",1.18,4096000
"nSyb6_Experiment-1405-Split Scenes-03-Airyscan Processing-02_nSyb_Young_Right","Young",1,"Green",0.82,12440000
"nSyb6_Experiment-1405-Split Scenes-03-Airyscan Processing-02_nSyb_Young_Right","Young",1,"Red",1.18,5469000
"nSyb7_15to20 Mito F  251031-Airyscan Processing-05_nSyb_Middle_Left","Middle",2,"Green",1.82,13390000
"nSyb7_15to20 Mito F  251031-Airyscan Processing-05_nSyb_Middle_Left","Middle",2,"Red",2.18,20580000
"nSyb7_15to20 Mito F  251031-Airyscan Processing-05_nSyb_Middle_Right","Middle",2,"Green",1.82,14620000
"nSyb7_15to20 Mito F  251031-Airyscan Processing-05_nSyb_Middle_Right","Middle",2,"Red",2.18,19300000
"nSyb7_49to50d F 111125-Airyscan Processing-07_nSyb_Old_Left","Old",3,"Green",2.82,98570000
"nSyb7_49to50d F 111125-Airyscan Processing-07_nSyb_Old_Left","Old",3,"Red",3.18,46260000
