"term","group1","group2","null.value","estimate","conf.low","conf.high","p.adj","p.adj.signif"
"age","Young","Middle",0,4430444.44444445,-13341114.3479627,22202003.2368515,0.818,"ns"
"age","Young","Old",0,8541555.55555555,-9230003.23685155,26313114.3479627,0.479,"ns"
"age","Middle","Old",0,4111111.1111111,-10908597.4154497,19130819.6376719,0.785,"ns"
