"term","group1","group2","null.value","estimate","conf.low","conf.high","p.adj","p.adj.signif"
"age","Young","Middle",0,7692137.886,-4032545.73113192,19416821.5031319,0.261,"ns"
"age","Young","Old",0,16590860.1082222,4600964.32201885,28580755.8944256,0.00445,"**"
"age","Middle","Old",0,8898722.22222222,-2032814.98904588,19830259.4334903,0.131,"ns"
