"term","group1","group2","null.value","estimate","conf.low","conf.high","p.adj","p.adj.signif"
"age","Young","Middle",0,35723281.4015714,19714454.9893774,51732107.8137654,5.87e-06,"****"
"age","Young","Old",0,9801842.51268254,-6569103.31490123,26172788.3402663,0.325,"ns"
"age","Middle","Old",0,-25921438.8888889,-40847307.027277,-10995570.7505008,0.000329,"***"
