"term","group1","group2","null.value","estimate","conf.low","conf.high","p.adj","p.adj.signif","y.position","xmin","xmax"
"age","Young","Middle",0,-0.116528485048808,-0.182978776000157,-0.05007819409746,0.000319,"***",0.46112,1,2
"age","Young","Old",0,-0.0943345962585831,-0.160784887209932,-0.0278843053072347,0.0036,"**",0.4928,1,3
"age","Middle","Old",0,0.0221938887902252,-0.0339668573352547,0.0783546349157052,0.606,"ns",0.52448,2,3
