"genotype",".y.","group1","group2","n1","n2","statistic","df","p","y.position","x","xmin","xmax","p_label"
"nSyb","value","No Treatment","Paraquat",6,6,-3.35255807195623,9.51861870596025,0.00785,2.13016,1,0.8,1.2,"**"
"repo","value","No Treatment","Paraquat",6,8,-2.40093128989685,7.25593734450535,0.0462,0.80416,2,1.8,2.2,"*"
